"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000959488886147264","0.000698232167894007","0.000720702919318894","0.000760651086559827","0.000906166596082593","0.00131405293432615","0.00152577280324417","0.00153973985727839","0.00195640008459108","0.00109429704736333","0.00156960653691674","0.00192689765446378","0.00149030629815309","0","0","0","0","0","0","0","0","0","",
"Africa Eastern and Southern","AFE","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","0","0","0","0","0.00025028573162745","0.103186325794077","0.102547243274259","0.0640829542179641","0.169528728863908","0.859724913768195","0.424273714456684","0.194310459724663","0.579195164422476","0.828800476182485","1.1842898162196","0.418539466879312","0.899626312941379","0.777273564097993","1.30495964636472","1.55529832439592","0.926292730942617","1.96420489677319","1.95499190797025","0.880109020590126","1.17337885201261","1.49287999396452","1.36554823349153","0.717648517863223","1.26672332135655","2.90310109997047","2.37826883175323","2.8305691259055","2.17800470846221","2.88702965547686","4.55989535557287","5.32257997138127","6.40188935454359","10.0698420069029","4.60162881075644","5.71331864245403","6.92883781726428","5.23030080458984","4.94341848711117","3.85172767588514","1.50030355346048","1.27304252961107","1.92231172742641","2.70272000561518","2.19889356192205","1.16846249582742","2.02562656848644","",
"Afghanistan","AFG","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","0.0265662947026768","0.0453108139131106","0.0557663770385733","0.07633415678642","0.427935476827928","0.520410843483266","0.646363012764153","0.687944963914268","0.644109079334453","1.29349953039045","1.35005887806414","1.35474939888996","","","","","","","","","","","","","","","","","","","","","0.030789275783499","0.0256328025661278","0.0256051597697051","0.0258476198749782","0.0214070372585048","0.0144464639818204","0.015736313879498","0.00524173800288766","0.00514945564866915","0.00660239543706919","0.109823883946021","0.0672901618424767","0.0407438655716957","0.0136357996041316","0.00944508042929387","0.0134270806666745","0.018854416706035","0.0127772897517024","0.00517761905886768","0.0178695056581909","",
"Africa Western and Central","AFW","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","0.31493917588844","1.04767613371062","1.66920198663123","18.8431681581045","12.7316702256067","11.9226586456448","14.1015850618267","10.8436039454184","27.4361734460134","16.6421788844958","3.85047367871951","1.58811258024941","4.40735327688923","6.97348184240848","8.08742703798775","2.88672331936393","5.66439273878016","4.80708967567953","11.240107698012","13.0236645008715","7.91725308714399","9.23837133864483","10.6624293013658","9.77165376780733","8.97270741097266","9.35907556211029","8.86075447909638","4.21761597737387","6.40946216540663","15.2104344770456","10.0315267245197","8.0463537876076","8.04712741870373","10.1405061843531","14.7122332725084","13.4478064169793","12.4782842172245","13.9850726008978","7.53916788984844","10.7299810552926","13.7375621078211","12.0829297645965","9.01850516973929","6.66553769396472","2.66816200068785","2.43278934815599","4.59496343870063","6.50906741655715","5.66419595289538","2.88171021588345","5.20584266013682","",
"Angola","AGO","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","","","","","","19.5416106844043","10.426247111977","4.09463309036246","11.21929927694","14.0994665560488","14.1586246957292","6.31853106919339","15.1707819484774","14.4045947596654","21.882605469383","28.0268256543238","16.8761491015161","27.0256548842449","34.5185265508012","40.5755094827092","41.0188156720936","39.0741439653244","37.3490232506807","21.7476800076135","38.5242698405316","57.5134839616206","42.5915766791073","31.7610292464785","27.1162657537214","32.9626955078503","42.2206783158613","40.2786520912475","45.3976036521592","52.1013581243545","29.7782995191992","37.7085091832735","38.6184358197859","34.3328389540912","29.0014846107501","21.736607448329","12.7187303090272","19.7483988340046","24.7110060055382","30.7304027285905","27.504828641196","18.5719595053837","28.2744398825844","",
"Albania","ALB","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","5.79911357215572","5.35720713662887","1.94987076169298","3.1040802885248","2.37853926219519","3.34558789124586","4.8458773941323","3.61748146583453","4.67814330470611","2.64923826281687","1.52228488071084","1.15951602844704","1.16070259405485","1.08835644606329","0.233494630433512","0.494725403679998","1.07150056484779","0.699922137592021","0.687177627386246","0.692722774590139","0.793153163005221","1.02095374629243","1.19244921679704","1.24943402811758","1.60465469310703","0.923660115710382","1.30954317181467","2.4548890851063","2.86635104305394","3.03392407525612","3.12207615711342","1.45260618469079","0.884410718287188","1.12614227560188","1.46983381887842","1.42437109584124","0.582225701330423","1.04218369204761","",
"Andorra","AND","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","12.8433890118514","12.8310321238218","15.5478011833579","20.3948406610029","46.8601415560453","37.9030047510252","38.3453328671407","36.282428129137","32.9693689442095","57.562835024187","50.3945914251578","38.4541350878102","25.483799325965","24.456523192385","24.1522500574656","21.0358298387116","13.0322381150424","16.1596104688576","15.9131967130006","21.9742278372508","22.1895130578754","17.4607715623464","19.2264835277263","18.5929704251668","16.7866467964437","16.9625473288104","19.9710003032711","17.5216230008331","11.8085885202275","15.7622042900211","24.6930286881921","19.7646122704909","19.1276293207785","21.6039402913836","25.7041162324757","30.7903133195943","31.4190391802966","29.1819308919097","32.9124706998707","20.6251195168631","24.0359425558115","32.5701974276482","32.0527037771918","29.5568878927696","26.3043546150326","15.3027933579241","12.8561320796884","16.1541913330144","21.1080028594486","18.4826793710159","11.418276093726","17.1367711136111","",
"United Arab Emirates","ARE","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","37.4179603088941","36.8782876103444","30.8690345782272","31.4520067178137","56.0299307985901","41.9017222889892","33.037027439471","22.8797386280149","23.6932140726226","25.7520260229299","23.7113309073601","17.0122917735774","22.8978256173288","20.3567774890166","28.6130173334727","35.3156119922356","23.5124336664395","23.314265622308","20.8005002641545","16.966789757447","16.3473463917171","19.1112827067212","16.9646090621951","10.8323014620584","13.3744382605246","20.8440561536495","15.8062390008792","14.6453240587361","17.8057010079321","20.9182068452778","23.9417369873026","25.8820272214672","23.7183455650517","26.67204274176","18.418263242659","22.6797378677807","28.5990789001782","27.0648520266069","26.2480640478396","22.9458647037024","13.1025344354216","11.0807563620506","13.4985731745503","17.0989945007163","15.681591549088","10.4940977026696","15.6730945329946","",
"Argentina","ARG","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","0.183779149216649","0.312886775004762","0.359047343543258","0.412805282018559","1.65885773770647","2.11889964582298","2.35967093826561","1.93385257138462","2.19019719332059","5.02863549439409","5.84241226408529","4.79626652315171","2.64858284193801","2.93199669852781","3.68570761843442","3.00657445804799","0.97146283280127","1.54851052425753","1.07039410413757","2.73924507290797","2.18272104761879","0.893993392718008","0.911490169536768","0.90189290799156","0.882210245002207","1.11368338221007","1.42093287722449","1.27158678591403","0.67625546126761","1.18222911614852","2.03921231896402","1.57828961704899","4.58801102253871","3.79526357487009","3.62815045579444","4.36083044381745","4.49089064691066","3.70577772027876","4.03900096602208","2.12453488071178","2.30522041977185","2.74533146547491","2.55649872416885","2.25387298647688","2.09270565105548","0.693912054976671","0.549552011638029","0.663565866238942","1.31095340723836","1.29099565501431","0.677055565819106","1.54438228879011","",
